,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
603,gRNA_8867,1629.0,527.0,7072.0,433.0,355.0,1003.0,399.0,80.0,501.0,147.0,57.0,131.0,3003.0
604,gRNA_8999,2201.0,505.0,6020.0,196.0,133.0,415.0,201.0,30.0,414.0,54.0,14.0,131.0,1631.0
605,gRNA_9105,7570.0,3029.0,27247.0,666.0,557.0,2957.0,883.0,103.0,2505.0,249.0,190.0,396.0,6290.0
606,gRNA_9114,952.0,368.0,3602.0,180.0,144.0,812.0,196.0,93.0,165.0,47.0,29.0,87.0,2111.0
607,gRNA_9115,1756.0,565.0,9824.0,247.0,222.0,605.0,272.0,48.0,121.0,28.0,35.0,106.0,2153.0
614,gRNA_9745,2557.0,859.0,9508.0,457.0,750.0,1564.0,583.0,76.0,1104.0,157.0,92.0,376.0,3790.0
615,gRNA_10049,3039.0,1029.0,13157.0,697.0,396.0,2124.0,684.0,145.0,762.0,104.0,124.0,239.0,5248.0
616,gRNA_10106,1242.0,368.0,4555.0,333.0,368.0,981.0,241.0,50.0,1294.0,91.0,144.0,130.0,2644.0
617,gRNA_10107,1537.0,353.0,5490.0,231.0,148.0,408.0,258.0,34.0,462.0,61.0,20.0,114.0,2578.0
621,gRNA_10342,1426.0,505.0,5601.0,351.0,276.0,925.0,260.0,49.0,494.0,44.0,73.0,302.0,2550.0
622,gRNA_10343,3235.0,724.0,10776.0,743.0,785.0,2139.0,834.0,129.0,1004.0,202.0,188.0,317.0,5522.0
623,gRNA_10363,1411.0,372.0,5737.0,655.0,412.0,1028.0,461.0,90.0,988.0,151.0,51.0,113.0,3493.0
632,gRNA_10504,3179.0,793.0,10854.0,335.0,421.0,1043.0,351.0,69.0,360.0,52.0,43.0,169.0,2975.0
633,gRNA_10547,3539.0,865.0,9349.0,335.0,201.0,590.0,150.0,30.0,184.0,19.0,73.0,102.0,2413.0
634,gRNA_10548,2956.0,953.0,13431.0,404.0,627.0,782.0,364.0,51.0,634.0,143.0,50.0,181.0,3748.0
635,gRNA_10596,1702.0,434.0,6912.0,325.0,344.0,1238.0,339.0,45.0,387.0,114.0,41.0,85.0,1851.0
636,gRNA_10598,1209.0,370.0,4681.0,354.0,207.0,581.0,228.0,43.0,467.0,89.0,48.0,77.0,2219.0
637,gRNA_10617,9689.0,2577.0,26062.0,630.0,445.0,1893.0,375.0,176.0,1056.0,71.0,171.0,304.0,6522.0
638,gRNA_10634,688.0,159.0,2617.0,249.0,228.0,645.0,308.0,56.0,382.0,71.0,57.0,121.0,1638.0
639,gRNA_10657,310.0,95.0,1105.0,100.0,130.0,209.0,110.0,22.0,94.0,8.0,37.0,89.0,801.0
640,gRNA_10664,2271.0,562.0,8111.0,515.0,336.0,719.0,397.0,83.0,354.0,126.0,84.0,267.0,3508.0
649,gRNA_10909,3681.0,1078.0,15052.0,512.0,392.0,1493.0,471.0,82.0,798.0,238.0,224.0,218.0,4248.0
