,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen3,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
605,gRNA_9105,3481.0,1918.0,522.0,1039.0,535.0,794.0,10878.0,1194.0,369.0,1571.0,2306.0,1327.0,1854.0,6290.0
606,gRNA_9114,545.0,394.0,114.0,365.0,240.0,236.0,2408.0,331.0,315.0,836.0,714.0,656.0,362.0,2111.0
607,gRNA_9115,474.0,287.0,99.0,293.0,203.0,301.0,1926.0,370.0,321.0,782.0,614.0,178.0,410.0,2153.0
614,gRNA_9745,1089.0,633.0,134.0,561.0,364.0,402.0,5928.0,647.0,374.0,1365.0,1424.0,837.0,692.0,3790.0
615,gRNA_10049,2181.0,1448.0,329.0,1082.0,815.0,1287.0,9402.0,1407.0,725.0,1907.0,2785.0,999.0,1600.0,5248.0
616,gRNA_10106,1189.0,1013.0,158.0,644.0,273.0,666.0,6012.0,695.0,480.0,774.0,1218.0,878.0,1022.0,2644.0
617,gRNA_10107,625.0,499.0,97.0,198.0,250.0,248.0,2591.0,357.0,131.0,1365.0,655.0,417.0,471.0,2578.0
621,gRNA_10342,707.0,457.0,124.0,322.0,242.0,561.0,4295.0,466.0,136.0,438.0,1013.0,771.0,585.0,2550.0
622,gRNA_10343,1133.0,756.0,142.0,741.0,591.0,434.0,3450.0,789.0,274.0,1317.0,1240.0,554.0,717.0,5522.0
623,gRNA_10363,820.0,508.0,124.0,801.0,556.0,540.0,7461.0,873.0,332.0,862.0,1169.0,1567.0,1417.0,3493.0
632,gRNA_10504,1362.0,786.0,238.0,578.0,327.0,489.0,4275.0,630.0,178.0,1670.0,1158.0,969.0,585.0,2975.0
633,gRNA_10547,1669.0,738.0,285.0,808.0,319.0,612.0,6417.0,576.0,316.0,934.0,2934.0,1037.0,472.0,2413.0
634,gRNA_10548,1255.0,672.0,201.0,411.0,357.0,360.0,5021.0,612.0,111.0,1432.0,690.0,665.0,568.0,3748.0
635,gRNA_10596,1407.0,901.0,238.0,595.0,277.0,575.0,4106.0,830.0,352.0,846.0,672.0,903.0,357.0,1851.0
636,gRNA_10598,1159.0,877.0,211.0,488.0,315.0,414.0,2921.0,561.0,350.0,965.0,992.0,328.0,636.0,2219.0
637,gRNA_10617,2039.0,1412.0,385.0,884.0,504.0,544.0,4888.0,579.0,363.0,3075.0,2283.0,719.0,1382.0,6522.0
638,gRNA_10634,295.0,166.0,44.0,182.0,137.0,147.0,1320.0,297.0,205.0,279.0,531.0,299.0,331.0,1638.0
639,gRNA_10657,116.0,77.0,23.0,121.0,89.0,87.0,855.0,101.0,53.0,148.0,301.0,163.0,168.0,801.0
640,gRNA_10664,876.0,613.0,146.0,358.0,229.0,283.0,3739.0,480.0,157.0,1096.0,560.0,630.0,418.0,3508.0
649,gRNA_10909,1060.0,919.0,221.0,379.0,401.0,563.0,4836.0,823.0,226.0,1519.0,1062.0,754.0,1046.0,4248.0
658,gRNA_10969,1561.0,755.0,207.0,612.0,518.0,638.0,6346.0,620.0,298.0,2726.0,1076.0,975.0,732.0,3556.0
659,gRNA_10971,658.0,254.0,123.0,264.0,160.0,253.0,1927.0,322.0,102.0,604.0,435.0,232.0,516.0,1262.0
661,gRNA_11071,595.0,406.0,103.0,441.0,309.0,509.0,4183.0,497.0,280.0,1606.0,1180.0,749.0,755.0,2334.0
675,gRNA_11223,1200.0,854.0,179.0,425.0,468.0,655.0,5644.0,665.0,294.0,1286.0,1043.0,1492.0,1017.0,7491.0
676,gRNA_11284,164.0,134.0,12.0,147.0,121.0,132.0,1632.0,210.0,229.0,338.0,218.0,170.0,260.0,1108.0
677,gRNA_11285,268.0,177.0,32.0,105.0,81.0,107.0,720.0,143.0,82.0,666.0,249.0,143.0,162.0,916.0
678,gRNA_11305,536.0,257.0,57.0,235.0,124.0,215.0,2249.0,192.0,136.0,470.0,516.0,275.0,274.0,1530.0
679,gRNA_11315,36.0,58.0,11.0,15.0,17.0,53.0,942.0,113.0,3.0,61.0,68.0,608.0,198.0,404.0
680,gRNA_11324,684.0,476.0,143.0,356.0,276.0,217.0,3269.0,368.0,239.0,766.0,261.0,302.0,952.0,2801.0
709,gRNA_11607,568.0,390.0,76.0,381.0,302.0,447.0,3857.0,895.0,256.0,655.0,1230.0,1041.0,1084.0,3232.0
710,gRNA_11608,1147.0,897.0,213.0,682.0,321.0,249.0,2636.0,415.0,232.0,1050.0,529.0,494.0,497.0,2772.0
711,gRNA_11670,703.0,346.0,125.0,83.0,95.0,126.0,1237.0,136.0,61.0,691.0,118.0,139.0,276.0,1259.0
712,gRNA_11798,529.0,257.0,86.0,134.0,133.0,127.0,2187.0,181.0,118.0,497.0,182.0,274.0,277.0,1878.0
731,gRNA_12024,1363.0,633.0,213.0,345.0,179.0,406.0,7030.0,242.0,174.0,742.0,643.0,727.0,295.0,2819.0
732,gRNA_12026,1491.0,590.0,178.0,263.0,131.0,182.0,2137.0,304.0,93.0,462.0,204.0,264.0,291.0,2539.0
733,gRNA_12164,2277.0,1626.0,289.0,553.0,399.0,561.0,8513.0,973.0,319.0,1202.0,868.0,1452.0,1368.0,2422.0
734,gRNA_12197,744.0,592.0,138.0,605.0,426.0,465.0,4211.0,651.0,258.0,1891.0,717.0,1281.0,632.0,4758.0
735,gRNA_12271,1533.0,914.0,193.0,468.0,511.0,362.0,3588.0,649.0,432.0,1539.0,757.0,578.0,1088.0,4254.0
736,gRNA_12272,2050.0,1244.0,282.0,696.0,441.0,704.0,5066.0,862.0,469.0,1479.0,1231.0,1322.0,968.0,5398.0
742,gRNA_12386,2091.0,1117.0,250.0,643.0,526.0,606.0,6283.0,772.0,236.0,2300.0,1154.0,518.0,1089.0,5325.0
